Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
				f o r   n o t h i n g							п о л ь з а	
				G u a m a n i a n		g u a m i l a i n e n						
				a r t f u l					a b i l e	h á b i l		
				r a t i o   d e c i d e n d i		o i k e u s o h j e						
M e k s i k o s t a d			M e x i c o   C i t y	M e x i c o   C i t y	M e k s i k u r b o	M e x i c o   C i t y	ქ ა ლ ა ქ ი   მ ე ქ ს ი კ ა	מ ק ס י ק ו   ס י ט י	C i t t à   d e l   M e s s i c o	C i d a d e   d o   M é x i c o	М е ́ х и к о	m j i   w a   M e k s i k o
			b o r g e r l i g	b o u r g e o i s		k e s k i l u o k k a i n e n				b u r g u e s a	б у р ж у а ́ з н ы й	
				a t o m i c i t y		l u k u m ä ä r ä						
				m i g r a t i o n		v a e l l u s	მ ი გ რ ა ც ი ა			m i g r a ç ã o	м и г р а ́ ц и я	
				g r u n g e		g r u n g e	გ რ ა ნ ჟ ი				г р а н ж	
				s e a s t e a d i n g				ה ת י י ש ב ו ת - י ם			с и с т е й д и н г	
				y u r i						y u r i	ю ́ р и	
				a g m a t i n e						a g m a t i n a		
				s l e i g h l i k e		r e k i m ä i n e n						
v o o r s i e n			f o r s y n e	p r o v i d e		v a r u s t a a		ס ִ פ ֵ ּ ק	p r o v v e d e r e	p r o v e r	с н а б д и ́ т ь	
			p a p i r l ø s	p a p e r l e s s								
		s e d l i n a		d r e g		s a k k a					о т с т о ́ й	
		o m á n s k ý		O m a n i		o m a n i l a i n e n				o m a n i a n o	о м а ́ н с к и й	
			g r a f i s k   d e s i g n e r	g r a p h i c   d e s i g n e r								
			l u f t m o d s t a n d	a i r   r e s i s t a n c e		i l m a n v a s t u s						
	ন র ক			A b a d d o n								
				s t e a m   b a t h		h ö y r y s a u n a					б а ́ н я	
		h y p o t é k a	p a n t	m o r t g a g e	h i p o t e k o	k i i n n e l a i n a	გ ი რ ა ო	מ ש כ נ ת א	i p o t e c a	h i p o t e c a	и п о т е ́ к а	r e h a n i
				i m p r e s s i o n		v a i k u t e l m a			a p p a r e n z a	i m p r e s s ã o		
				i n t r i n s i c a l l y		i t s e s s ä ä n				i n t r i n s e c a m e n t e	в   с у ́ щ н о с т и	
				c o l l e g e		t i e d e k u n t a			f a c o l t à	f a c u l d a d e	о т д е л е ́ н и е	
	ন ে ত া	š é f	l e d e r	l e a d e r	g v i d a n t o	v e t ä j ä	გ ა მ ძ ღ ო ლ ი	מ נ ה י ג ה	d u c e	c h e f e	г л а ́ в н ы й	k i o n g o z i
				a p p e a r a n c e		u l k o n ä k ö	გ ა რ ე გ ნ ო ბ ა		c e r a	a p a r ê n c i a	о ́ б л и к	
				g o t h		g o o t t i						
	দ শ ভ ু জ া ক ৃ ত ি			d e c a g o n a l			ა თ კ უ თ ხ ა		d e c a g o n a l e			
		d á s e ň	t a n d k ø d	g u m	g u m o	i k e n e t	ღ რ ძ ი ლ ი	ח נ י כ י י ם	g e n g i v a	g e n g i v a	д е с н а ́	
				t r a n s a c t		t o i m i a						
				p r e s e n t e r							п р е д с т а в и ́ т е л ь н и ц а	
				o r a t o r y							о р а т о ́ р и й	
		s v ě t l ý	b l e g	l i g h t		v a a l e a		ב ה י ר ה		c l a r o	с в е ́ т л ы й	m w a n g a
				q u i c k		v i r t a a v a						
				p i t c h		k a l l i s t u s			p e n d e n z a			
				o u t s t a n d i n g l y					s t r e p i t o s a m e n t e			
				a b o r t i o n		s u r k a s t u m i n e n						
		f l a n e l	f l o n e l	f l a n n e l		f l a n e l l i			f l a n e l l a	f l a n e l a	ф л а н е ́ л ь	
				a r g a n						a r g â n i a		
b r o e d e r s k a p		b r a t r s t v í	b r o d e r s k a b	b r o t h e r h o o d	f r a t e c o	v e l j e y s	ძ მ ო ბ ა	א ח ו ו ה	f r a t e l l a n z a	f r a t e r n i d a d e	б р а ́ т с т в о	
				p y r o t e c h n i c a l		p y r o t e k n i n e n						
				s u b d e r m a l					s u b d e r m i c o			
	ক ্ ল া র ে ন ্ স			C l a r e n c e								
				p i a n o   b e n c h		p i a n o t u o l i						
r e f r a k s i e		r e f r a k c e	r e f r a k t i o n	r e f r a c t i o n	r e f r a k t o	t a i t t u m i n e n		ש ב י ר ה	r i f r a z i o n e	r e f r a ç ã o	р е ф р а ́ к ц и я	
		c e s t u j í c í	k u n d e	f a r e		p o k a			p a s s e g g e r o	p a s s a g e i r o	п а с с а ж и ́ р к а	a b i r i a
				A t h a b a s c a n						a t a b a s c o		
				a d e n o -					a d e n o -	a d e n o -		
				t a c t i c i a n		t a k t i k k o			t a t t i c o			
				i m p o s t u r e							н а д у в а т е л ь с т в о	
				a m p h i b i o u s l y						a n f i b i a m e n t e		
				q u a l i f i e r		a t t r i b u u t t i						
				b o o b y   t r a p		a n s a	დ ა ფ ა რ უ ლ ი   ს ა ფ რ თ ხ ე		t r a b o c c h e t t o	a r m a d i l h a	м и ́ н а - л о в у ́ ш к а	
		p r a m e n		s t r a n d		h i u s				m e c h a	п р я ́ д ь	
				s i t u a t i o n		s i j a i n t i		מ י ק ו ם		l o c a l i z a ç ã o	п о з и ́ ц и я	
				T a o y u a n							Т а о ю а ́ н ь	
				Y o r k	J o r k o					I o r q u e		
				n a r r o w		p i h i						
				c o m i t a t i v e		k o m i t a t i i v i					к о м и т а т и ́ в	
				a n a l y t i c   g e o m e t r y					g e o m e t r i a   a n a l i t i c a	g e o m e t r i a   a n a l í t i c a	а н а л и т и ́ ч е с к а я   г е о м е ́ т р и я	
				s i n u s		a v a n n e					ф и ́ с т у л а	
				v e l o c i p e d e						v e l o c í p e d e		
		h a n g g l i d i n g		h a n g   g l i d i n g		r i i p p u l i i t o					д е л ь т а п л а н е р и ́ з м	
				k a m a c i t e					c a m a c i t e	k a m a c i t a		
		s o u h l a s í m		r i g h t		a i v a n	ს წ ო რ ი ა			c e r t o	л а ́ д н о	
		a v e r z n í		r i s k - a v e r s e							н е п р е д р а с п о л о ж е н н ы й   к   р и с к у	
				i m p a r t i a l i t y							б е с п р и с т р а с т н о с т ь	
				l a n d s c a p e		m a i s e m o i d a			p a e s a g g i o			
				d e d u c t i o n		p ä ä t t e l y k y k y			d e d u z i o n e		д е д у ́ к ц и я	
				e t e r n a l l y		i k u i s e s t i			e t e r n a m e n t e	e t e r n a m e n t e	в е ́ ч н о	
w a a g		o d v a ž o v a t   s e		d a r e		u h m a t a			a f f r o n t a r e	e n f r e n t a r	р и с к н у ́ т ь	
		n á r t		i n s t e p		j a l k a p ö y t ä				p e i t o   d o   p é	п о д ъ ё м	
				a t   l e n g t h		l o p u l t a				f i n a l m e n t e	н а к о н е ́ ц - т о !	
				m a r o o n		p u n a r u s k e a	წ ა ბ ლ ი ს ფ ე რ ი		f u l v o	c a s t a n h a	т ё м н о - б о р д о ́ в ы й	
p l o o i p l e i s t e r			s m i n k e	m a k e u p		p a k k e l i	მ ა კ ი ა ჟ ი		t r u c c o	m a q u i l h a g e m	г р и м и р о ́ в к а	
				b r a c e l e t							б р а с л е ́ т	
				o u t s t r i p							о п е р е д и ́ т ь	
				c a t h o l i c o s			კ ა თ ო ლ ი კ ო ს ი				к а т о л и к о ́ с	
		d o m ů		h o m e w a r d	h e j m e n	k o t i i n		ה ב י ת ה			в о с в о я ́ с и	
				c o l l u v i u m					c o l l u v i u m		к о л л ю ́ в и й	
				P A C E							П А С Е	
				a r b o v i r a l						a r b o v i r a l		
				e x h i b i t		o s o i t t a a			d i m o s t r a r e	d e m o n s t r a r		
				i n t e n s i f i e r		v a h v i s t i n						
		s a b a t	s a b b a t	S a b b a t h	ŝ a b a t o	s a p a t t i		ש ַ ׁ ב ָ ּ ת		s a b á	с у б б о ́ т а	
				c l o t		t o l l o			i m b e c i l l e	b o b o	б о л в а ́ н	
				e x o t i c i s m		e k s o o t t i s u u s						
				p i a s t r e							п и а ́ с т р	
				D i c k e n s							Д и ́ к к е н с	
		I n d i a n a	I n d i a n a	I n d i a n a	I n d i a n a o	I n d i a n a	ი ნ დ ი ა ნ ა			I n d i a n a	И н д и а ́ н а	
				m a s h		p u r i s t a a						
n a t r i u m	ল ব ণ ক	s o d í k	n a t r i u m	s o d i u m	n a t r i o	n a t r i u m	ნ ა ტ რ ი უ მ ი	נ ת ר ן	s o d i o	s ó d i o	н а ́ т р и й	s o d i a m u
				c o u n t e r t e n o r		k o n t r a t e n o r i	კ ო ნ ტ რ ტ ე ნ ო რ ი		c o n t r a l t i s t a	c o n t r a t e n o r		
				t r i p		h u u m e t r i p p i			t r i p	v i a g e m	п р и х о ́ д	
				u p w a r d				מ ַ ע ְ ל ָ ה			н а в е ́ р х	
				P r i a b o n i a n					P r i a b o n i a n o			
				l i n e					p a r t i z i o n e			m s t a r i
				i n e x o r a b l y		a r m o t t o m a s t i			i n e s o r a b i l m e n t e	i n e x o r a v e l m e n t e	н е п р е к л о н н о	
				h i d a l g o	n o b e l i d o				i d a l g o	f i d a l g o		
				b e a t e r						l a t a - v e l h a	р а з в а л ю ́ х а	
				r e n o u n c e	m a l k o n f e s i	k i e l t ä ä					о т в е ́ р г н у т ь	
				b e d s o r e		m a k u u h a a v a		פ צ ע   ל ח ץ		e s c a r a		
				r e s u l t	r e z u l t i	s e u r a t a					п р и в о д и ́ т ь	
		K o m s o m o l s k		K o m s o m o l s k					K o m s o m o l ' s k	K o m s o m o l s k	К о м с о м о ́ л ь с к	
			k o a g u l e r e	c o a g u l a t e		k o a g u l o i d a					к о а г у л и ́ р о в а т ь	
			e p e n t e s e	e p e n t h e s i s	e p e n t e z o				e p e n t e s i	e p ê n t e s e	э п е н т е ́ з а	
				L e v a n t i n e   A r a b i c				ע ר ב י ת   ל ב נ ט י נ י ת	a r a b o   l e v a n t i n o		л е в а н т и ́ й с к и й   а р а ́ б с к и й	
				s i n e   w a v e		s i n i a a l t o						
				f l a g s t o n e		k i v i l a a t t a			t e g o l a	l o u s a	п л и т а ́	
				H o l y   o f   H o l i e s		k a i k k e i n   p y h i n		ק ד ש   ה ק ד ש י ם		á d i t o	с в я т а ́ я   с в я т ы ́ х	
		r e j d a		r o a d s t e a d		r e t i			r a d a	a n g r a	р е й д	
				d e l t i o l o g y		p o s t i k o r t t i e n   k e r ä i l y					ф и л о к а р т и я	
		s t a t i s t i k		s t a t i s t i c i a n		t i l a s t o m a t e m a a t i k k o			s t a t i s t i c o	e s t a t í s t i c o		
		p e n á l	p e n a l h u s	p e n c i l   c a s e		p e n a a l i	პ ე ნ ა ლ ი	ק ַ ל ְ מ ָ ר	p o r t a p e n n e	e s t o j o	п е н а ́ л	
				m a s s		p a t t i			m a s s a	m a s s a		m s h i k a n o
				o i l   c a k e		ö l j y k a k k u					ж м ы х	
				p i n g		n ä p ä y t t ä ä						
				c h o w		r u o k a			f o r a g g i o		х а р ч и ́	
		t e m a t i c k ý		t h e m a t i c	t e m a	a i h e e n m u k a i n e n			t e m a t i c o	t e m á t i c o	т е м а т и ́ ч е с к и й	
		p ř e d a t		h a n d   o v e r	t r a n s d o n i	l u o v u t t a a			t r a s f e r i r e	t r a n s f e r i r	с д а т ь	
			s v a r t b a g	g r e a t   b l a c k - b a c k e d   g u l l		m e r i l o k k i					м о р с к а ́ я   ч а ́ й к а	
		u s t r n u t í		d i s b e l i e f	m i r o					s u r p r e s a		
				p y r o m a n i a		p y r o m a n i a			p i r o m a n i a	p i r o m a n i a	п и р о м а ́ н и я	
		J I P	i n t e n s i v a f d e l i n g	I C U		t e h o		י ח י ד ה   ל ט י פ ו ל   נ מ ר ץ		u n i d a d e   d e   t e r a p i a   i n t e n s i v a	О Р И Т	
				r e s e r v e		r e s e r v a a t t i				r e s e r v a	р е з е р в а ц и я	
				r i s e		a l k a a						
				A f r o c e n t r i c						a f r o c e n t r i s t a		
				h e l i x	h e l i k s o	y l ä r u s t o				h é l i x		
				a n t i s e p a r a t i s t			ა ნ ტ ი ს ე პ ა რ ა ტ ი ს ტ უ ლ ი			a n t i s s e p a r a t i s t a		
				a r r o g a n t l y		a r r o g a n t i s t i			a r r o g a n t e m e n t e	a r r o g a n t e m e n t e	к и ч л и ́ в о	s h a s h i m a m i s h i
				r u n s					c a g a r e l l a			
		z p r o s t ř e d k o v a t e l		d e a l e r		j ä l l e e n m y y j ä			r a p p r e s e n t a n t e	n e g o c i a n t e	т о р г о ́ в е ц	
				s t r a i n		k u o r m i t t a a			b i s t r a t t a r e		н а п р я ́ ч ь	
		m e t a a n a l ý z a		m e t a - a n a l y s i s								
				b a r d	b a r d o					b a r d o	а ́ в т о р - и с п о л н и ́ т е л ь	
				f a t h e r						p a d r e	б а ́ т ю ш к а	
		v r a k		s h i p w r e c k		h y l k y			r e l i t t o		о с т а н к и   к о р а б л е к р у ш е н и я	
				H i l a r y					I l a r i a			
				p l u m e					b r i l l a m e n t o			
				d a y t i m e							д н е в н о ́ й	
				R o r a i m a						R o r a i m a		
		i k v i z i c e		I n q u i s i t i o n		i n k v i s i t i o				I n q u i s i ç ã o	и н к в и з и ́ ц и я	
s k a n d p a a l		p r a n ý ř	g a b e s t o k	p i l l o r y	p u n p i l o r i o	h ä p e ä p a a l u			g o g n a	p e l o u r i n h o	п о з о ́ р н ы й   с т о л б	
				A n a x i m a n d e r i a n						a n a x i m â n d r i c o		
				n o n - s m o k i n g		s a v u t o n						
		b ě h o u n	l ø b e r	r u n n e r		m a t t o			p a s s a t o i a			
				X		t u n t e m a t o n					и к с	
				y o i k		j o i k u a						
				a n t a s t h m a t i c						a n t i a s m á t i c o		
				p o r t a l						p o r t a		
				L o v e c r a f t i a n					l o v e c r a f t i a n o			
				p e r t a i n						r e f e r i r - s e   a	о т н о с и ́ т ь с я	
				b a s i n		k u l h o						
		p a r t i t u r a	p a r t i t u r	s c o r e	p a r t i t u r o	p a r t i t u u r i			s p a r t i t o	p a r t i t u r a	п а р т и т у ́ р а	
				g a l a c t u r o n i c   a c i d					a c i d o   g a l a t t u r o n i c o			
		m u n i c e	a m m u n i t i o n	a m m u n i t i o n		a m p u m a t a r v i k k e e t	ს ა ჭ უ რ ვ ე ლ ი	ת ח מ ו ש ת	m u n i z i o n i	m u n i ç ã o	а м у н и ́ ц и я	
				h e m l i n e		h e l m a n   k o r k e u s						
				c r a s s							м е р к а н т и ́ л ь н ы й	
		n a k u p o v a t	s h o p p e	s h o p	b u t i k u m i	s h o p p a i l l a			a n d a r e   p e r   n e g o z i	i r   à s   c o m p r a s	п о к у п а ́ т ь	
				m i c r o f a u n a		m i k r o f a u n a						
				a p o l o g e t i c i s m						a p o l o g e t i s m o		
				b o d y s w a p		r u u m i i n v a i h t o					о б м е ́ н   т е л а ́ м и	
				r a d i o   s i g n a l		r a d i o s i g n a a l i			r a d i o s e g n a l e			
		s l o u p e c	l i n j e	f i l e		l i n j a			c o l o n n a	c o l u n a	в е р т и к а ́ л ь	
				a u d i t i o n		k o e - e s i i n t y ä						
		k u p l í ř		p a n d e r		p a r i t t a j a					с в о ́ д н и к	
				s t u n o d		t ä r ä h t ä n y t						
				b a i l		ä y s k ä r ö i d ä			s g o t t a r e		о т ч е р п ы в а т ь	
				U s e n e t		n y y s i t					Ю з н е ́ т	
				r h e u m a t o l o g i c a l		r e u m a t o l o g i n e n						
		h l u p á k		d u m m y		t o l l o			i t	i m b e c i l	б е ́ с т о л о ч ь	
				l i t i g i o u s	d i s p u t e m a							
				g o u r d		k a l e b a s s i	კ ვ ა ხ ი	ד ל ע ת	z u c c a	p o r o n g o	т ы ́ к в а	
				e l e c t r i f y							э л е к т р и ф и ц и ́ р о в а т ь	
		A h o j   s v ě t e		H e l l o   W o r l d	S a l u t o n ,   M o n d o						П р и в е т ,   м и р	
		s o u l a d		h a r m o n y	h a r m o n i o	h a r m o n i a			a r m o n i a	h a r m o n i a	г а р м о ́ н и я	
				m o o n s h i n e	l u n b r i l o	k u u t a m o			c h i a r o   d i   l u n a	l u a r		
k u s s i n g	ব া ল ি শ	p o l š t á ř	h o v e d p u d e	p i l l o w	k a p k u s e n o	t y y n y	ბ ა ლ ი შ ი	כ ָ ּ ר ִ י ת	c u s c i n o	a l m o f a d a	п о д у ́ ш к а	m t o
				a m e l o t i n						a m e l o t i n a		
				d u e   d i l i g e n c e		a s i a n m u k a i n e n   h u o l e l l i s u u s	კ ო მ პ ა ნ ი ი ს   ა უ დ ი ტ ი					
				m e t t l e		r o h k e u s				f i r m e z a	в ы н о ́ с л и в о с т ь	
		p á r		p a i r	d u o p o	p a r i	წ ყ ვ ი ლ ი	צ ֶ מ ֶ ד	p a i o	p a r	ч е т а ́	
		k n i h t i s k		l e t t e r p r e s s								
				d o o m		t u o m i o			c o n d a n n a		п р и г о в о ́ р	
				c h e e s e p a r i n g							с к а ́ р е д н ы й	
m a s j i e n	ম ে শ ি ন	m a š i n a	m a s k i n e	m a c h i n e	m a ŝ i n o	k o n e	მ ა ნ ქ ა ნ ა	מ ְ כ ו ֹ נ ָ ה	m a c c h i n a	m á q u i n a	а п п а р а ́ т	m a s h i n e
				m y o c a r d i o c y t e					m i o c a r d i o c i t o			
				N i n g b o		N i n g b o				L i a m p ó	Н и н б о ́	
				t a k e   o n		k i l p a i l l a			p r o v a r c i	a f r o n t a r	т я г а т ь с я	
		m a x i l o f a c i á l n í		m a x i l l o f a c i a l								
r a d i u s		p o l o m ě r	r a d i u s	r a d i u s	r a d i u s o	s ä d e	რ ა დ ი უ ს ი	ר ַ ד ְ י ו ּ ס	r a g g i o	r a i o	р а ́ д и у с	
b i o c h e m i e		b i o c h e m i e	b i o k e m i	b i o c h e m i s t r y	b i o k e m i o	b i o k e m i a	ბ ი ო ქ ი მ ი ა	ב י ו כ י מ י ה	b i o c h i m i c a	b i o q u í m i c a	б и о х и ́ м и я	
				f l o r i d		p u n a k k a	მ ო წ ი თ ა ლ ო					
u i t r o e p t e k e n		v y k ř i č n í k	u d r å b s t e g n	e x c l a m a t i o n   m a r k	k r i s i g n o	h u u t o m e r k k i		ס י מ ן   ק ר י א ה	p u n t o   e s c l a m a t i v o	p o n t o   d e   e x c l a m a ç ã o	!	a l a m a   y a   m s h a n g a o
				E u r a s i a n   n u t h a t c h		p ä h k i n ä n a k k e l i			p i c c h i o   m u r a t o r e			
				k m			კ მ	ק ” מ			к м	
				r e t e n t i o n					r i t e n z i o n e		у д е р ж а ́ н и е	
