Orthography	Segments
B O T H E	b oʊ ð
B O T H E L L	b ɑ θ ʌ l
B O T H E R	b ɑ ð ɝ
B O T H E R E D	b ɑ ð ɝ d
B O T H E R I N G	b ɑ ð ɝ ɪ ŋ
B O T H E R S	b ɑ ð ɝ z
B O T H E R S O M E	b ɑ ð ɝ s ʌ m
B O T H U N	b ɑ θ ʌ n
B O T H W E L L	b ɑ θ w ɛ l
B O T I N	b ɑ t ɪ n
B O T K I N	b ɑ t k ɪ n
B O T K I N S	b ɑ t k ɪ n z
B O T N E R	b ɑ t n ɝ
B O T O L F	b ɑ t oʊ l f
B O T O N	b oʊ t ʌ n
B O T O S	b oʊ t oʊ z
B O T O X	b oʊ t ɔ k s
B O T R Y T I S	b ʌ t ɹ ɪ t ɪ s
B O T S	b ɔ t s
B O T S F O R D	b ɑ t s f ɝ d
B O T S H A B E L O	b ɑ tʃ ʌ b ɛ l oʊ
B O T S W A N A	b ɑ t s w ɑ n ʌ
B O T T	b ɑ t
B O T T A	b ɑ t ʌ
B O T T A R I	b oʊ t ɑ ɹ i
B O T T C H E R	b ɑ t tʃ ɝ
B O T T E C E L L I	b ɔ t ʌ tʃ ɛ l i
B O T T E L	b ɑ t ʌ l
B O T T E N	b ɑ t ʌ n
B O T T E N F I E L D	b ʌ t ɛ n f i l d
B O T T G E R	b ɑ t ɡ ɝ
B O T T I N G	b ɑ t ɪ ŋ
B O T T I N I	b oʊ t i n i
B O T T I N O	b oʊ t i n oʊ
B O T T L E	b ɑ t ʌ l
B O T T L E D	b ɑ t ʌ l d
B O T T L E N E C K	b ɑ t ʌ l n ɛ k
B O T T L E N E C K S	b ɑ t ʌ l n ɛ k s
B O T T L E R	b ɑ t l ɝ
B O T T L E R S	b ɑ t l ɝ z
B O T T L E R S	b ɑ t l ɝ z
B O T T L E S	b ɑ t ʌ l z
B O T T L I N G	b ɑ t ʌ l ɪ ŋ
B O T T L I N G	b ɑ t l ɪ ŋ
B O T T O M	b ɑ t ʌ m
B O T T O M S	b ɑ t ʌ m z
B O T T O M U P	b ɑ t ʌ m ʌ p
B O T T O M E D	b ɑ t ʌ m d
B O T T O M F I S H	b ɑ t ʌ m f ɪ ʃ
B O T T O M I N G	b ɑ t ʌ m ɪ ŋ
B O T T O M L E S S	b ɑ t ʌ m l ʌ s
B O T T O M L E Y	b ɑ t ʌ m l i
B O T T O M S	b ɑ t ʌ m z
B O T T O N E	b oʊ t oʊ n i
B O T T O R F	b ɑ t ɝ f
B O T T O R F F	b ɑ t ɝ f
B O T T R E L L	b ɑ t ɹ ʌ l
B O T T S	b ɑ t s
B O T U L I S M	b ɑ tʃ u l ɪ z ʌ m
B O T V I N I C K	b ɔ t v ɪ n ɪ k
B O T Z	b ɑ t s
B O U C H	b aʊ tʃ
B O U C H A R D	b u ʃ ɑ ɹ d
B O U C H E	b aʊ tʃ
B O U C H E R	b u ʃ ʌ
B O U C H E R	b aʊ tʃ ɝ
B O U C H E R	b ɔ tʃ ɝ
B O U C H E Y	b u ʃ i
B O U C H I E	b aʊ tʃ i
B O U C H I L L O N	b aʊ tʃ ɪ l ɑ n
B O U C K	b oʊ k
B O U D I N	b u d ɪ n
B O U D O I N	b u d ɔɪ n
B O U D O I R	b u d ɔɪ ɹ
B O U D R E A U	b u d ɹ oʊ
B O U D R E A U X	b u d ɹ oʊ
B O U F F A R D	b u f ɑ ɹ d
B O U G A I N V I L L E	b u ɡ ɪ n v ɪ l
B O U G A I N V I L L E A	b u ɡ eɪ n v ɪ l i ʌ
B O U G H	b aʊ
B O U G H A N	b aʊ ʌ n
B O U G H E R	b aʊ ɝ
B O U G H M A N	b aʊ m ʌ n
B O U G H N E R	b aʊ n ɝ
B O U G H S	b aʊ z
B O U G H T	b ɑ t
B O U G H T	b ɔ t
B O U G H T E N	b ɔ t ʌ n
B O U G H T E R	b ɔ t ɝ
B O U G H T O N	b aʊ t ʌ n
B O U G I E	b u ʒ i
B O U I E	b u i
B O U I L L A B A I S E	b u l j ʌ b eɪ s
B O U I L L O N	b u w ɪ l ʌ n
B O U K N I G H T	b aʊ k n aɪ t
B O U L A I S	b u l eɪ
B O U L A L A S	b u l ʌ l ʌ s
B O U L A N G E R	b aʊ l ʌ ŋ ɝ
B O U L A N G E R I E	b u l æ ŋ ɡ ɝ i
B O U L A Y	b u l eɪ
B O U L D E N	b ʊ d ʌ n
B O U L D E R	b oʊ l d ɝ
B O U L D E R S	b oʊ l d ɝ z
B O U L D I N G	b oʊ l d ɪ ŋ
B O U L E	b u l
B O U L E R	b aʊ l ɝ
B O U L E T	b u l ɛ t
B O U L E T T E	b u l ɛ t
B O U L E V A R D	b ʊ l ʌ v ɑ ɹ d
B O U L E V A R D S	b ʊ l ʌ v ɑ ɹ d z
B O U L E Y	b u l i
B O U L E Z	b u l ɛ z
B O U L I E R	b u l i ɝ
B O U L L I O N	b u l j ʌ n
B O U L O S	b u l oʊ z
B O U L T E R	b oʊ l t ɝ
B O U L T I N G H O U S E	b aʊ l t ɪ ŋ h aʊ s
B O U L T O N	b aʊ l t ʌ n
B O U L W A R E	b aʊ l w ɛ ɹ
B O U M A	b oʊ m ʌ
B O U M A N	b u m æ n
B O U N C E	b aʊ n s
B O U N C E D	b aʊ n s t
B O U N C E R	b aʊ n s ɝ
B O U N C E R S	b aʊ n s ɝ z
B O U N C E S	b aʊ n s ɪ z
B O U N C I N E S S	b aʊ n s i n ʌ s
B O U N C I N G	b aʊ n s ɪ ŋ
B O U N C Y	b aʊ n s i
B O U N D	b aʊ n d
B O U N D A R I E S	b aʊ n d ɝ i z
B O U N D A R I E S	b aʊ n d ɹ i z
B O U N D A R Y	b aʊ n d ɝ i
B O U N D A R Y	b aʊ n d ɹ i
B O U N D E D	b aʊ n d ʌ d
B O U N D E D	b aʊ n d ɪ d
B O U N D E R	b aʊ n d ɝ
B O U N D I N G	b aʊ n d ɪ ŋ
B O U N D L E S S	b aʊ n d l ʌ s
B O U N D S	b aʊ n d z
B O U N D Y	b aʊ n d i
B O U N T I E S	b aʊ n t i z
B O U N T I F U L	b aʊ n t ɪ f ʌ l
B O U N T I F U L	b aʊ n ɪ f ʌ l
B O U N T Y	b aʊ n t i
B O U Q U E T	b u k eɪ
B O U Q U E T S	b oʊ k eɪ z
B O U Q U E T S	b u k eɪ z
B O U R	b aʊ ɹ
B O U R A S S A	b ʊ ɹ ɑ s ʌ
B O U R B E A U	b ʊ ɹ b oʊ
B O U R B O N	b ɝ b ʌ n
B O U R B O N S	b ɝ b ʌ n z
B O U R C I E R	b aʊ ɹ k i ɝ
B O U R D E A U	b ʊ ɹ d oʊ
B O U R G	b ɔ ɹ ɡ
B O U R G A U L T	b ʊ ɹ ɡ oʊ
B O U R G E O I S	b ʊ ɹ ʒ w ɑ
B O U R G E O I S	b ʊ ɹ ʒ w ɑ
B O U R G E O I S I E	b ʊ ɹ ʒ w ɑ z i
B O U R G E T	b ʊ ɹ ʒ ɛ t
B O U R G O I N	b ʊ ɹ ɡ ɔɪ n
B O U R G U I B A	b ɔ ɹ ɡ w i b ʌ
B O U R G U I G N O N	b ʊ ɹ ɡ i n j oʊ n
B O U R K E	b ɝ k
B O U R L A N D	b ʊ ɹ l æ n d
B O U R N	b ɔ ɹ n
B O U R N E	b ɔ ɹ n
B O U R N E W O O D	b ɔ ɹ n w ʊ d
B O U R N I A S	b ɔ ɹ n i ʌ s
B O U R N O N V I L L E	b ɔ ɹ n ʌ n v ɪ l
B O U R Q U E	b ʊ ɹ k
B O U R Q U I N	b ʊ ɹ k w æ n
B O U R R E T	b ʊ ɹ ɛ t
B O U R S E	b ɔ ɹ s
B O U R S E S	b ɔ ɹ s ɪ z
B O U R S E S	b ɔ ɹ s ɪ z
B O U R S I C O T	b u ɹ s ɪ k ɔ t
B O U R S I C O T	b ʌ ɹ s ʌ k ɔ t
B O U S E	b aʊ s
B O U S K A	b u s k ʌ
B O U S M A N	b ʌ s m æ n
B O U S Q U E T	b u s k ɛ t
B O U S S A C	b u s æ k
B O U S T A N Y	b u s t ʌ n i
B O U T	b aʊ t
B O U T E L L	b u t ɛ l
B O U T E L L E	b u t ɛ l
B O U T H I L L I E R	b aʊ θ ʌ l i ɝ
B O U T I L I E R	b aʊ t ʌ l i ɝ
B O U T I N	b u t æ n
B O U T I Q U E	b u t i k
B O U T I Q U E S	b u t i k s
B O U T O N	b aʊ t ʌ n
B O U T R O S	b u t ɹ oʊ s
B O U T S	b aʊ t s
B O U T T E	b u t
B O U T W E L L	b aʊ t w ɛ l
B O U V I E R	b u v i eɪ
B O U W E N S	b aʊ ʌ n z
B O U W K A M P	b aʊ k æ m p
B O U W M A N	b aʊ m ʌ n
B O U W S M A	b u z m ʌ
B O U Y E R	b ɔɪ ɝ
B O U Y G U E S	b ɔɪ ʒ eɪ
B O U Y G U E S	b ɔɪ ɡ ɛ z
B O U Z A	b u z ʌ
B O V A	b oʊ v ʌ
B O V A R D	b ʌ v ɑ ɹ d
B O V E	b oʊ v
B O V E E	b ʌ v i
B O V E N	b ʌ v ʌ n
B O V E N Z I	b oʊ v ɛ n z i
B O V E R I	b oʊ v ɛ ɹ i
B O V E S P A	b oʊ v s p ɑ
B O V E Y	b oʊ v i
B O V I K	b oʊ v ɪ k
B O V I N	b oʊ v ɪ n
B O V I N A	b oʊ v i n ʌ
B O V I N E	b oʊ v aɪ n
B O V I N O	b oʊ v i n oʊ
B O W	b aʊ
B O W	b oʊ
B O W A R	b oʊ ɝ
B O W A R D	b oʊ ɝ d
B O W A T E R	b aʊ ʌ t ɝ
B O W A T E R	b oʊ ɔ t ɝ
B O W A T E R	b oʊ w ɔ t ɝ
B O W C A N	b oʊ k ʌ n
B O W D E N	b oʊ d ʌ n
B O W D E N	b aʊ d ʌ n
B O W D I S H	b oʊ d ɪ ʃ
B O W D I T C H	b oʊ d ɪ tʃ
B O W D L E	b oʊ d ʌ l
B O W D O I N	b oʊ d ɔɪ n
B O W E	b oʊ
B O W E D	b aʊ d
B O W E D	b oʊ d
B O W E L	b aʊ ʌ l
B O W E L L	b ɑ w ɛ l
B O W E L S	b aʊ ʌ l z
B O W E L S	b aʊ l z
B O W E N	b oʊ ʌ n
B O W E N S	b oʊ ʌ n z
B O W E R	b aʊ ɝ
B O W E R M A N	b oʊ ɝ m ʌ n
B O W E R M A S T E R	b oʊ ɝ m æ s t ɝ
B O W E R S	b aʊ ɝ z
B O W E R S O C K	b oʊ ɝ s ʌ k
B O W E R S O X	b oʊ ɝ s ɑ k s
B O W E R Y	b aʊ ɝ i
B O W E R Y S	b aʊ ɝ i z
B O W E S	b oʊ z
B O W I C K	b oʊ ɪ k
B O W I E	b oʊ i
B O W I N G	b oʊ ɪ ŋ
B O W I N G	b aʊ ɪ ŋ
B O W K E R	b oʊ k ɝ
B O W L	b oʊ l
B O W L A N D	b oʊ l ʌ n d
B O W L B Y	b oʊ l b i
B O W L D S	b oʊ l d z
B O W L E D	b oʊ l d
B O W L E N	b oʊ l ʌ n
B O W L E R	b oʊ l ɝ
B O W L E R S	b oʊ l ɝ z
B O W L E S	b oʊ l z
B O W L E Y	b oʊ l i
B O W L I N	b oʊ l ɪ n
B O W L I N E	b oʊ l aɪ n
B O W L I N G	b oʊ l ɪ ŋ
B O W L I N G S	b oʊ l ɪ ŋ z
B O W L S	b oʊ l z
B O W L U S	b oʊ l ʌ s
B O W M A N	b oʊ m ʌ n
B O W M A N S	b oʊ m ʌ n z
B O W M E N	b oʊ m ʌ n
B O W M E R	b oʊ m ɝ
B O W N	b oʊ n
B O W N D S	b oʊ n d z
B O W N E	b oʊ n
B O W R I N G	b oʊ ɹ ɪ ŋ
B O W R O N	b oʊ ɹ ʌ n
B O W R O N	b oʊ ɹ ɑ n
B O W S	b aʊ z
B O W S	b oʊ z
B O W S E	b oʊ s
B O W S E D	b aʊ z d
B O W S E R	b oʊ z ɝ
B O W S E S	b aʊ z ɪ z
B O W S H E R	b oʊ ʃ ɝ
B O W S I N G	b aʊ z ɪ ŋ
B O W Y E R	b oʊ j ɝ
B O X	b ɑ k s
B O X B E R G E R	b ɑ k s b ɝ ɡ ɝ
B O X C A R	b ɑ k s k ɑ ɹ
B O X C A R S	b ɑ k s k ɑ ɹ z
B O X E D	b ɑ k s t
B O X E L L	b ɑ k s ʌ l
B O X E R	b ɑ k s ɝ
B O X E R S	b ɑ k s ɝ z
B O X E R S	b ɑ k s ɝ z
B O X E S	b ɑ k s ʌ z
B O X E S	b ɑ k s ɪ z
B O X I N G	b ɑ k s ɪ ŋ
B O X I N G S	b ɑ k s ɪ ŋ z
B O X L E Y	b ɑ k s l i
B O X W E L L	b ɑ k s w ɛ l
B O X W O O D	b ɑ k s w ʊ d
B O X X	b ɑ k s
B O X Y	b ɑ k s i
B O Y	b ɔɪ
B O Y S	b ɔɪ z
B O Y A R D E E	b ɔɪ ɑ ɹ d i
B O Y S C O U T	b ɔɪ s k aʊ t
B O Y A C K	b ɔɪ ʌ k
B O Y A J I A N	b ɔɪ æ dʒ i ʌ n
B O Y A N	b ɔɪ ɑ n
B O Y A R	b oʊ j ɑ ɹ
B O Y C E	b ɔɪ s
B O Y C O T T	b ɔɪ k ɑ t
B O Y C O T T E D	b ɔɪ k ɑ t ɪ d
B O Y C O T T I N G	b ɔɪ k ɑ t ɪ ŋ
B O Y C O T T S	b ɔɪ k ɑ t s
B O Y D	b ɔɪ d
B O Y D S	b ɔɪ d z
B O Y D E	b ɔɪ d
B O Y D E N	b ɔɪ d ʌ n
B O Y D S T O N	b ɔɪ d s t ʌ n
B O Y D S T U N	b ɔɪ d s t ʌ n
B O Y E	b ɔɪ
B O Y E A	b ɔɪ i ʌ
B O Y E R	b ɔɪ ɝ
B O Y E R S	b ɔɪ ɝ z
B O Y E R T O W N	b ɔɪ ɝ t aʊ n
B O Y E S	b ɔɪ z
B O Y E T T	b ɔɪ ɪ t
B O Y E T T E	b ɔɪ ɛ t
B O Y F R I E N D	b ɔɪ f ɹ ɛ n d
B O Y F R I E N D S	b ɔɪ f ɹ ɛ n d z
B O Y F R I E N D S	b ɔɪ f ɹ ɛ n d z
B O Y H O O D	b ɔɪ h ʊ d
B O Y I N G T O N	b ɔɪ ɪ ŋ t ʌ n
B O Y I S H	b ɔɪ ɪ ʃ
B O Y K I N	b ɔɪ k ɪ n
B O Y K I N S	b ɔɪ k ɪ n z
B O Y K O	b ɔɪ k oʊ
B O Y L A N	b ɔɪ l ʌ n
B O Y L A N D	b ɔɪ l ʌ n d
B O Y L E	b ɔɪ l
B O Y L E N	b ɔɪ l ʌ n
B O Y L E S	b ɔɪ l z
B O Y L E S T O N	b ɔɪ l s t ʌ n
B O Y L E S T O N S	b ɔɪ l s t ʌ n z
B O Y L L S	b ɔɪ l z
B O Y L S T O N	b ɔɪ l s t ʌ n
B O Y L S T O N S	b ɔɪ l s t ʌ n z
B O Y N E	b ɔɪ n
B O Y N T O N	b ɔɪ n t ʌ n
B O Y S	b ɔɪ z
B O Y S	b ɔɪ z
B O Y S E L	b ɔɪ s ʌ l
B O Y S E N	b ɔɪ s ʌ n
B O Y S O N	b ɔɪ z ʌ n
B O Y T	b ɔɪ t
B O Y T E	b ɔɪ t
B O Y T E R	b ɔɪ t ɝ
B O Y T O Y	b ɔɪ t ɔɪ
B O Y T O Y S	b ɔɪ t ɔɪ z
B O Y U M	b ɔɪ ʌ m
B O Y Z	b ɔɪ z
B O Z A	b oʊ z ʌ
B O Z A R D	b ʌ z ɑ ɹ d
B O Z A R T H	b ɑ z ɝ θ
B O Z E	b oʊ z
B O Z E K	b oʊ z ɛ k
B O Z E L L	b oʊ z ɛ l
B O Z E L L S	b oʊ z ɛ l z
B O Z E M A N	b oʊ z m ʌ n
B O Z I A N	b oʊ z i ʌ n
B O Z I C	b ɑ z ɪ k
B O Z I C H	b ɑ z ɪ h
B O Z M A N	b ɑ z m ʌ n
B O Z O	b oʊ z oʊ
B O Z O S	b oʊ z oʊ z
B O Z T E P E	b ɑ z t ɛ p
B O Z T E P E	b oʊ z t ɛ p
B O Z T E P E	b ɑ z t ɛ p i
B O Z T E P E	b oʊ z t ɛ p i
B O Z Z A	b ɑ z ʌ
B O Z Z I	b ɑ z i
B O Z Z O	b ɑ z oʊ
B P	b i p i
B R A	b ɹ ɑ
B R A A K S M A	b ɹ ɑ k s m ʌ
B R A A S C H	b ɹ ɑ ʃ
B R A A T E N	b ɹ ɑ eɪ t ʌ n
B R A A T Z	b ɹ ɑ t s
B R A B A N T	b ɹ ɑ b ʌ n t
B R A B E C	b ɹ ɑ b ɪ k
B R A B E N D E R	b ɹ æ b ɛ n d ɝ
B R A B H A M	b ɹ æ b h ʌ m
B R A B S O N	b ɹ æ b s ʌ n
B R A C	b ɹ æ k
B R A C A M O N T E	b ɹ æ k ʌ m ɑ n t i
B R A C A M O N T E S	b ɹ æ k ʌ m ɑ n t i z
B R A C A M O N T E S	b ɹ æ k ʌ m ɑ n t i z
B R A C C I	b ɹ ɑ tʃ i
B R A C C O	b ɹ æ k oʊ
B R A C E	b ɹ eɪ s
B R A C E S	b ɹ eɪ s ɪ z
B R A C E D	b ɹ eɪ s t
B R A C E L E T	b ɹ eɪ s l ʌ t
B R A C E L E T S	b ɹ eɪ s l ɪ t s
B R A C E R	b ɹ eɪ s ɝ
B R A C E R O	b ɹ ɑ tʃ ɛ ɹ oʊ
B R A C E S	b ɹ eɪ s ʌ z
B R A C E S	b ɹ eɪ s ɪ z
B R A C E W E L L	b ɹ eɪ s w ɛ l
B R A C E Y	b ɹ eɪ s i
B R A C H	b ɹ æ tʃ
B R A C H E R	b ɹ æ k ɝ
B R A C H E R S	b ɹ æ k ɝ z
B R A C H F E L D	b ɹ ɑ k f ɛ l d
B R A C H I A	b ɹ eɪ k i ʌ
B R A C H I A	b ɹ æ k i ʌ
B R A C H I I	b ɹ eɪ k i aɪ
B R A C H I I	b ɹ eɪ k i i
B R A C H I O P O D	b ɹ eɪ k i ʌ p ɑ d
B R A C H I O P O D S	b ɹ eɪ k i ʌ p ɑ d z
B R A C H T	b ɹ æ k t
B R A C I N G	b ɹ eɪ s ɪ ŋ
B R A C I N G L Y	b ɹ eɪ s ɪ ŋ ɡ l i
B R A C K	b ɹ æ k
B R A C K B I L L	b ɹ æ k b ʌ l
B R A C K E E N	b ɹ ʌ k i n
B R A C K E N	b ɹ æ k ʌ n
B R A C K E N B U R Y	b ɹ æ k ʌ n b ɛ ɹ i
B R A C K E N S	b ɹ æ k ʌ n z
B R A C K E R	b ɹ æ k ɝ
B R A C K E T	b ɹ æ k ɪ t
B R A C K E T S	b ɹ æ k ʌ t s
B R A C K E T S	b ɹ æ k ɪ t s
B R A C K E T T	b ɹ æ k ɪ t
B R A C K I N	b ɹ æ k ɪ n
B R A C K I N S	b ɹ æ k ɪ n z
B R A C K I S H	b ɹ æ k ɪ ʃ
B R A C K M A N	b ɹ æ k m ʌ n
B R A C K N E L L	b ɹ æ k n ɛ l
B R A C K N E Y	b ɹ æ k n i
B R A C Y	b ɹ eɪ s i
B R A D	b ɹ æ d
B R A D S	b ɹ æ d z
B R A D B E R R Y	b ɹ æ d b ɛ ɹ i
B R A D B U R N	b ɹ æ d b ɝ n
B R A D B U R Y	b ɹ æ d b ɛ ɹ i
B R A D C O	b ɹ æ d k oʊ
B R A D D O C K	b ɹ æ d ʌ k
B R A D D Y	b ɹ æ d i
B R A D E E N	b ɹ ʌ d i n
B R A D E M A S	b ɹ ʌ d eɪ m ʌ s
B R A D E N	b ɹ eɪ d ʌ n
B R A D E N T O N	b ɹ æ d ʌ n t ʌ n
B R A D E R	b ɹ æ d ɝ
B R A D F I E L D	b ɹ æ d f i l d
B R A D F O R D	b ɹ æ d f ɝ d
B R A D F O R D S	b ɹ æ d f ɝ d z
B R A D F O R D S	b ɹ æ d f ɝ d z
B R A D H A M	b ɹ æ d h ʌ m
B R A D I S H	b ɹ æ d ɪ ʃ
B R A D L E E	b ɹ æ d l i
B R A D L E E S	b ɹ æ d l i z
B R A D L E Y	b ɹ æ d l i
B R A D L E Y S	b ɹ æ d l i z
B R A D L E Y S	b ɹ æ d l i z
B R A D N E R	b ɹ æ d n ɝ
B R A D N E Y	b ɹ æ d n i
B R A D S H A W	b ɹ æ d ʃ ɔ
B R A D S H E R	b ɹ æ d ʃ ɝ
B R A D S T R E E T	b ɹ æ d s t ɹ i t
B R A D S T R E E T S	b ɹ æ d s t ɹ i t s
B R A D T	b ɹ æ d t
B R A D T K E	b ɹ æ d k i
B R A D T M I L L E R	b ɹ æ t m ɪ l ɝ
B R A D W A Y	b ɹ æ d w eɪ
B R A D W E L L	b ɹ æ d w ɛ l
B R A D Y	b ɹ eɪ d i
B R A D Y S	b ɹ eɪ d i z
B R A D Y C A R D I A	b ɹ æ d ʌ k ɑ ɹ d i ʌ
B R A D Y C A R D I A	b ɹ æ d ɪ k ɑ ɹ d i ʌ
B R A D Y K I N I N	b ɹ ʌ d ɪ k ɪ n ɪ n
B R A D Y S	b ɹ eɪ d i z
B R A E	b ɹ eɪ
B R A E N D S T R O E M	b ɹ æ n d s t ɹ oʊ m
B R A E R	b ɹ eɪ ɹ
B R A F F	b ɹ æ f
B R A F F O R D	b ɹ æ f ɝ d
B R A G	b ɹ æ ɡ
B R A G A	b ɹ ɑ ɡ ʌ
B R A G A N	b ɹ eɪ ɡ ʌ n
B R A G A N Z A	b ɹ ʌ ɡ ɑ n z ʌ
B R A G A N Z A	b ɹ ʌ ɡ æ n z ʌ
B R A G D O N	b ɹ æ ɡ d ʌ n
B R A G E R	b ɹ eɪ ɡ ɝ
B R A G G	b ɹ æ ɡ
B R A G G A D O C I O	b ɹ æ ɡ ʌ d oʊ ʃ i oʊ
B R A G G E D	b ɹ æ ɡ d
B R A G G E R	b ɹ æ ɡ ɝ
B R A G G E R S	b ɹ æ ɡ ɝ z
B R A G G I N G	b ɹ æ ɡ ɪ ŋ
B R A G G I O T T I	b ɹ æ ɡ i ɔ t i
B R A G G S	b ɹ æ ɡ z
B R A G S	b ɹ æ ɡ z
B R A H A M	b ɹ æ h ʌ m
B R A H M	b ɹ ɑ m
B R A H M A N	b ɹ ɑ m ʌ n
B R A H M I N	b ɹ ɑ m ɪ n
B R A H M S	b ɹ ɑ m z
B R A H M S S	b ɹ ɑ m z ɪ z
B R A I D	b ɹ eɪ d
B R A I D E D	b ɹ eɪ d ɪ d
B R A I D I N G	b ɹ eɪ d ɪ ŋ
B R A I D S	b ɹ eɪ d z
B R A I D W O O D	b ɹ eɪ d w ʊ d
B R A I L E Y	b ɹ eɪ l i
B R A I L L E	b ɹ eɪ l
B R A I L L E S	b ɹ eɪ l z
B R A I L S F O R D	b ɹ eɪ l s f ɝ d
B R A I N	b ɹ eɪ n
B R A I N S	b ɹ eɪ n z
B R A I N A R D	b ɹ eɪ n ɝ d
B R A I N C H I L D	b ɹ eɪ n tʃ aɪ l d
B R A I N D E A D	b ɹ eɪ n d ɛ d
B R A I N E D	b ɹ eɪ n d
B R A I N E R	b ɹ eɪ n ɝ
B R A I N E R D	b ɹ eɪ n ɝ d
B R A I N L E S S	b ɹ eɪ n l ɪ s
B R A I N P O W E R	b ɹ eɪ n p aʊ ɝ
B R A I N S	b ɹ eɪ n z
B R A I N S T O R M	b ɹ eɪ n s t ɔ ɹ m
B R A I N S T O R M E D	b ɹ eɪ n s t ɔ ɹ m d
B R A I N S T O R M I N G	b ɹ eɪ n s t ɔ ɹ m ɪ ŋ
B R A I N S T O R M S	b ɹ eɪ n s t ɔ ɹ m z
B R A I N T R E E	b ɹ eɪ n t ɹ i
B R A I N W A S H	b ɹ eɪ n w ɑ ʃ
B R A I N W A S H E D	b ɹ eɪ n w ɑ ʃ t
B R A I N W A S H E S	b ɹ eɪ n w ɑ ʃ ʌ z
B R A I N W A S H I N G	b ɹ eɪ n w ɑ ʃ ɪ ŋ
B R A I N Y	b ɹ eɪ n i
B R A I S E	b ɹ eɪ z
B R A I S E D	b ɹ eɪ z d
B R A I T H W A I T E	b ɹ eɪ θ w eɪ t
B R A J D A S	b ɹ aɪ d ʌ s
B R A J O V I C	b ɹ ɑ dʒ oʊ v ɪ tʃ
B R A K E	b ɹ eɪ k
B R A K E B I L L	b ɹ eɪ k b ɪ l
B R A K E D	b ɹ eɪ k t
B R A K E F I E L D	b ɹ eɪ k f i l d
B R A K E M A N	b ɹ eɪ k m ʌ n
B R A K E M E N	b ɹ eɪ k m ɛ n
B R A K E R	b ɹ eɪ k ɝ
B R A K E S	b ɹ eɪ k s
B R A K I N G	b ɹ eɪ k ɪ ŋ
B R A K K E	b ɹ æ k
B R A L E Y	b ɹ æ l i
B R A L L E Y	b ɹ æ l i
B R A L L I E R	b ɹ æ l i ɝ
B R A L O R N E	b ɹ æ l ɔ ɹ n
B R A L Y	b ɹ ɑ l i
B R A M	b ɹ æ m
B R A M A H	b ɹ ɑ m ʌ
B R A M A L E A	b ɹ æ m ʌ l i ʌ
B R A M A L E A S	b ɹ æ m ʌ l i z
B R A M A N	b ɹ eɪ m ʌ n
B R A M B I L A	b ɹ ɑ m b i l ʌ
B R A M B L E	b ɹ æ m b ʌ l
B R A M B L E S	b ɹ æ m b ʌ l z
B R A M B L E T T	b ɹ æ m b l ɪ t
B R A M E	b ɹ eɪ m
B R A M E L	b ɹ æ m ʌ l
B R A M E R	b ɹ eɪ m ɝ
B R A M H A L L	b ɹ æ m h ʌ l
B R A M L A G E	b ɹ æ m l ɪ dʒ
B R A M L E T	b ɹ æ m l ɪ t
B R A M L E T T	b ɹ æ m l ɪ t
B R A M L E T T E	b ɹ æ m l ɛ t
B R A M L E Y	b ɹ æ m l i
B R A M M E I E R	b ɹ æ m aɪ ɝ
B R A M M E R	b ɹ æ m ɝ
B R A M P T O N	b ɹ æ m p t ʌ n
B R A M S	b ɹ æ m z
B R A M S O N	b ɹ æ m s ʌ n
B R A M W E L L	b ɹ æ m w ɛ l
B R A N	b ɹ æ n
B R A N A G A N	b ɹ æ n ʌ ɡ æ n
B R A N A G H	b ɹ æ n ʌ ɡ
B R A N A M	b ɹ æ n ʌ m
B R A N A M A N	b ɹ æ n ʌ m ʌ n
B R A N A N	b ɹ eɪ n ʌ n
B R A N C A	b ɹ æ ŋ k ʌ
B R A N C A C C I O	b ɹ ɑ n k ɑ tʃ i oʊ
B R A N C A T O	b ɹ ɑ n k ɑ t oʊ
B R A N C H	b ɹ æ n tʃ
B R A N C H S	b ɹ æ n tʃ ɪ z
B R A N C H E	b ɹ æ n tʃ
B R A N C H E A U	b ɹ ʌ n ʃ oʊ
B R A N C H E D	b ɹ æ n tʃ t
B R A N C H E S	b ɹ æ n tʃ ʌ z
B R A N C H E S	b ɹ æ n tʃ ɪ z
B R A N C H I N G	b ɹ æ n tʃ ɪ ŋ
B R A N C H L E T	b ɹ æ n tʃ l ʌ t
B R A N C H L E T S	b ɹ æ n tʃ l ʌ t s
B R A N C O	b ɹ æ ŋ k oʊ
B R A N D	b ɹ æ n d
B R A N D S	b ɹ æ n d z
B R A N D N E W	b ɹ æ n d n u
B R A N D A	b ɹ æ n d ʌ
B R A N D A U	b ɹ æ n d aʊ
B R A N D E	b ɹ æ n d
B R A N D E B E R R Y	b ɹ æ n d b ɛ ɹ i
B R A N D E D	b ɹ æ n d ɪ d
B R A N D E I S	b ɹ æ n d aɪ s
B R A N D E L	b ɹ æ n d ʌ l
B R A N D E N	b ɹ æ n d ʌ n
B R A N D E N B E R G	b ɹ æ n d ʌ n b ɝ ɡ
B R A N D E N B E R G E R	b ɹ æ n d ʌ n b ɝ ɡ ɝ
B R A N D E N B U R G	b ɹ æ n d ʌ n b ɝ ɡ
B R A N D E N B U R G E R	b ɹ æ n d ʌ n b ɝ ɡ ɝ
